,Unnamed: 0,Team,Year,ST,W,PD,PP,FL,BF,BG,PTS,WC,EVENT,ENGINES,GRID POS,RACE
217,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Canadian Grand Prix,Mercedes,4,5.0
218,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,French Grand Prix,Mercedes,1,1.0
219,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,French Grand Prix,Mercedes,2,7.0
220,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Austrian Grand Prix,Mercedes,1,0.0
221,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Austrian Grand Prix,Mercedes,2,0.0
222,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,British  Grand Prix,Mercedes,1,2.0
223,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,British  Grand Prix,Mercedes,4,4.0
224,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,German Grand Prix,Mercedes,14,1.0
225,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,German Grand Prix,Mercedes,2,2.0
226,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Hungarian Grand Prix,Mercedes,1,1.0
227,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Hungarian Grand Prix,Mercedes,2,5.0
228,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Belgian Grand Prix,Mercedes,1,2.0
229,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Belgian Grand Prix,Mercedes,17,4.0
230,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Italian Grand Prix,Mercedes,3,1.0
231,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Italian Grand Prix,Mercedes,4,3.0
232,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Singapore Grand Prix,Mercedes,1,1.0
233,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Singapore Grand Prix,Mercedes,4,4.0
234,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Russian Grand Prix,Mercedes,2,1.0
235,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Russian Grand Prix,Mercedes,1,2.0
236,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Japanese Grand Prix,Mercedes,1,1.0
237,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Japanese Grand Prix,Mercedes,2,2.0
238,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,United States Grand Prix,Mercedes,1,3.0
239,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,United States Grand Prix,Mercedes,3,5.0
